name,lat,long
S05.512_E119.406,-5.512,119.406
S05.512_E119.433,-5.512,119.433
S05.512_E119.460,-5.512,119.46
S05.512_E119.487,-5.512,119.487
S05.512_E119.514,-5.512,119.514
S05.512_E119.541,-5.512,119.541
S05.512_E119.568,-5.512,119.568
S05.512_E119.595,-5.512,119.595
S05.512_E119.622,-5.512,119.622
S05.512_E119.649,-5.512,119.649
S05.512_E119.676,-5.512,119.676
S05.512_E119.703,-5.512,119.703
S05.539_E119.406,-5.539,119.406
S05.539_E119.433,-5.539,119.433
S05.539_E119.460,-5.539,119.46
S05.539_E119.487,-5.539,119.487
S05.539_E119.514,-5.539,119.514
S05.539_E119.541,-5.539,119.541
S05.539_E119.568,-5.539,119.568
S05.539_E119.595,-5.539,119.595
S05.539_E119.622,-5.539,119.622
S05.539_E119.649,-5.539,119.649
S05.539_E119.676,-5.539,119.676
S05.539_E119.703,-5.539,119.703
S05.566_E119.406,-5.566,119.406
S05.566_E119.433,-5.566,119.433
S05.566_E119.460,-5.566,119.46
S05.566_E119.487,-5.566,119.487
S05.566_E119.514,-5.566,119.514
S05.566_E119.541,-5.566,119.541
S05.566_E119.568,-5.566,119.568
S05.566_E119.595,-5.566,119.595
S05.566_E119.622,-5.566,119.622
S05.566_E119.649,-5.566,119.649
S05.566_E119.676,-5.566,119.676
S05.566_E119.703,-5.566,119.703
S05.593_E119.406,-5.593,119.406
S05.593_E119.433,-5.593,119.433
S05.593_E119.460,-5.593,119.46
S05.593_E119.487,-5.593,119.487
S05.593_E119.514,-5.593,119.514
S05.593_E119.541,-5.593,119.541
S05.593_E119.568,-5.593,119.568
S05.593_E119.595,-5.593,119.595
S05.593_E119.622,-5.593,119.622
S05.593_E119.649,-5.593,119.649
S05.593_E119.676,-5.593,119.676
S05.593_E119.703,-5.593,119.703
S05.620_E119.406,-5.62,119.406
S05.620_E119.433,-5.62,119.433
S05.620_E119.460,-5.62,119.46
S05.620_E119.487,-5.62,119.487
S05.620_E119.514,-5.62,119.514
S05.620_E119.541,-5.62,119.541
S05.620_E119.568,-5.62,119.568
S05.620_E119.595,-5.62,119.595
S05.620_E119.622,-5.62,119.622
S05.620_E119.649,-5.62,119.649
S05.620_E119.676,-5.62,119.676
S05.620_E119.703,-5.62,119.703
S05.647_E119.406,-5.647,119.406
S05.647_E119.433,-5.647,119.433
S05.647_E119.460,-5.647,119.46
S05.647_E119.487,-5.647,119.487
S05.647_E119.514,-5.647,119.514
S05.647_E119.541,-5.647,119.541
S05.647_E119.568,-5.647,119.568
S05.647_E119.595,-5.647,119.595
S05.647_E119.622,-5.647,119.622
S05.647_E119.649,-5.647,119.649
S05.647_E119.676,-5.647,119.676
S05.647_E119.703,-5.647,119.703
S05.674_E119.406,-5.674,119.406
S05.674_E119.433,-5.674,119.433
S05.674_E119.460,-5.674,119.46
S05.674_E119.487,-5.674,119.487
S05.674_E119.514,-5.674,119.514
S05.674_E119.541,-5.674,119.541
S05.674_E119.568,-5.674,119.568
S05.674_E119.595,-5.674,119.595
S05.674_E119.622,-5.674,119.622
S05.674_E119.649,-5.674,119.649
S05.674_E119.676,-5.674,119.676
S05.674_E119.703,-5.674,119.703
S05.701_E119.406,-5.701,119.406
S05.701_E119.433,-5.701,119.433
S05.701_E119.460,-5.701,119.46
S05.701_E119.487,-5.701,119.487
S05.701_E119.514,-5.701,119.514
S05.701_E119.541,-5.701,119.541
S05.701_E119.568,-5.701,119.568
S05.701_E119.595,-5.701,119.595
S05.701_E119.622,-5.701,119.622
S05.701_E119.649,-5.701,119.649
S05.701_E119.676,-5.701,119.676
S05.701_E119.703,-5.701,119.703
S05.728_E119.406,-5.728,119.406
S05.728_E119.433,-5.728,119.433
S05.728_E119.460,-5.728,119.46
S05.728_E119.487,-5.728,119.487
S05.728_E119.514,-5.728,119.514
S05.728_E119.541,-5.728,119.541
S05.728_E119.568,-5.728,119.568
S05.728_E119.595,-5.728,119.595
S05.728_E119.622,-5.728,119.622
S05.728_E119.649,-5.728,119.649
S05.728_E119.676,-5.728,119.676
S05.728_E119.703,-5.728,119.703
S05.755_E119.406,-5.755,119.406
S05.755_E119.433,-5.755,119.433
S05.755_E119.460,-5.755,119.46
S05.755_E119.487,-5.755,119.487
S05.755_E119.514,-5.755,119.514
S05.755_E119.541,-5.755,119.541
S05.755_E119.568,-5.755,119.568
S05.755_E119.595,-5.755,119.595
S05.755_E119.622,-5.755,119.622
S05.755_E119.649,-5.755,119.649
S05.755_E119.676,-5.755,119.676
S05.755_E119.703,-5.755,119.703
S05.782_E119.406,-5.782,119.406
S05.782_E119.433,-5.782,119.433
S05.782_E119.460,-5.782,119.46
S05.782_E119.487,-5.782,119.487
S05.782_E119.514,-5.782,119.514
S05.782_E119.541,-5.782,119.541
S05.782_E119.568,-5.782,119.568
S05.782_E119.595,-5.782,119.595
S05.782_E119.622,-5.782,119.622
S05.782_E119.649,-5.782,119.649
S05.782_E119.676,-5.782,119.676
S05.782_E119.703,-5.782,119.703
S05.809_E119.406,-5.809,119.406
S05.809_E119.433,-5.809,119.433
S05.809_E119.460,-5.809,119.46
S05.809_E119.487,-5.809,119.487
S05.809_E119.514,-5.809,119.514
S05.809_E119.541,-5.809,119.541
S05.809_E119.568,-5.809,119.568
S05.809_E119.595,-5.809,119.595
S05.809_E119.622,-5.809,119.622
S05.809_E119.649,-5.809,119.649
S05.809_E119.676,-5.809,119.676
S05.809_E119.703,-5.809,119.703